(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_gather (env rendezvous, like Modal)
# world_size=2 minBytes=8 maxBytes=268435456 mode=sequential
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     226.75         0.00         0.00
          16     226.22         0.00         0.00
          32     227.35         0.00         0.00
          64     241.24         0.00         0.00
         128     227.13         0.00         0.00
         256     225.68         0.00         0.00
         512     228.91         0.00         0.00
        1024     224.32         0.00         0.00
        2048     229.70         0.00         0.01
        4096     241.02         0.01         0.02
        8192     238.54         0.02         0.03
       16384     281.78         0.03         0.06
       32768     318.27         0.05         0.10
       65536     345.05         0.09         0.19
      131072     435.44         0.15         0.30
      262144     544.08         0.24         0.48
      524288     868.65         0.30         0.60
     1048576    1251.75         0.42         0.84
     2097152    2441.82         0.43         0.86
     4194304    4951.44         0.42         0.85
     8388608    9677.97         0.43         0.87
    16777216   19345.83         0.43         0.87
    33554432   37304.44         0.45         0.90
    67108864   72436.10         0.46         0.93
   134217728  148039.49         0.45         0.91
   268435456  296102.36         0.45         0.91
