(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_gather (env rendezvous, like Modal)
# world_size=5 minBytes=8 maxBytes=268435456 mode=sequential
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     610.09         0.00         0.00
          16     736.18         0.00         0.00
          32     693.28         0.00         0.00
          64     645.88         0.00         0.00
         128     624.84         0.00         0.00
         256     844.42         0.00         0.00
         512     891.81         0.00         0.00
        1024     985.27         0.00         0.00
        2048     970.33         0.00         0.01
        4096     959.65         0.00         0.02
        8192    1124.91         0.01         0.03
       16384    1088.12         0.01         0.06
       32768    1099.59         0.02         0.12
       65536    1314.87         0.04         0.20
      131072    1623.48         0.06         0.32
      262144    2312.35         0.09         0.45
      524288    3251.49         0.13         0.64
     1048576    4874.54         0.17         0.86
     2097152    8160.17         0.21         1.03
     4194304   16992.36         0.20         0.99
     8388608   32292.11         0.21         1.04
    16777216   63400.32         0.21         1.06
    33554432  125473.21         0.21         1.07
    67108864  251389.78         0.21         1.07
   134217728  500752.33         0.21         1.07
   268435456  999928.54         0.21         1.07
