(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_gather (env rendezvous, like Modal)
# world_size=5 minBytes=8 maxBytes=268435456 mode=overlap
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     836.68         0.00         0.00
          16     927.99         0.00         0.00
          32     893.37         0.00         0.00
          64     703.64         0.00         0.00
         128     953.96         0.00         0.00
         256     988.22         0.00         0.00
         512    1007.63         0.00         0.00
        1024     955.73         0.00         0.00
        2048    1092.20         0.00         0.01
        4096    1186.93         0.00         0.01
        8192    1149.94         0.01         0.03
       16384    1279.67         0.01         0.05
       32768    1305.62         0.02         0.10
       65536    1389.09         0.04         0.19
      131072    1709.26         0.06         0.31
      262144    2431.66         0.09         0.43
      524288    3601.42         0.12         0.58
     1048576    5016.25         0.17         0.84
     2097152    8688.06         0.19         0.97
     4194304   17340.99         0.19         0.97
     8388608   32031.15         0.21         1.05
    16777216   63838.53         0.21         1.05
    33554432  127439.81         0.21         1.05
    67108864  256011.21         0.21         1.05
   134217728  510315.52         0.21         1.05
   268435456 1020156.98         0.21         1.05
