(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=2 minBytes=8 maxBytes=134217728 mode=overlap
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     438.70         0.00         0.00
          16     458.38         0.00         0.00
          32     464.67         0.00         0.00
          64     491.37         0.00         0.00
         128     467.39         0.00         0.00
         256     428.66         0.00         0.00
         512     503.92         0.00         0.00
        1024     562.58         0.00         0.00
        2048     561.51         0.01         0.00
        4096     598.65         0.01         0.01
        8192     564.01         0.03         0.01
       16384     584.98         0.06         0.03
       32768     762.94         0.09         0.04
       65536     760.84         0.17         0.09
      131072     772.39         0.34         0.17
      262144     962.43         0.54         0.27
      524288    1278.71         0.82         0.41
     1048576    1644.93         1.27         0.64
     2097152    2748.64         1.53         0.76
     4194304    5038.22         1.66         0.83
     8388608    8301.13         2.02         1.01
    16777216   15920.20         2.11         1.05
    33554432   30819.77         2.18         1.09
    67108864   61371.75         2.19         1.09
   134217728  120741.39         2.22         1.11
