(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=2 minBytes=8 maxBytes=134217728
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     268.79         0.00         0.00
          16     265.68         0.00         0.00
          32     267.87         0.00         0.00
          64     269.97         0.00         0.00
         128     528.04         0.00         0.00
         256     500.16         0.00         0.00
         512     441.07         0.00         0.00
        1024     444.45         0.00         0.00
        2048     435.16         0.01         0.00
        4096     458.33         0.02         0.01
        8192     518.92         0.03         0.02
       16384     502.89         0.07         0.03
       32768     533.09         0.12         0.06
       65536     605.09         0.22         0.11
      131072     797.13         0.33         0.16
      262144    1151.28         0.46         0.23
      524288    1973.92         0.53         0.27
     1048576    3042.82         0.69         0.34
     2097152    5278.30         0.79         0.40
     4194304    9117.87         0.92         0.46
     8388608   18809.97         0.89         0.45
    16777216   35838.90         0.94         0.47
    33554432   73285.09         0.92         0.46
    67108864  145876.29         0.92         0.46
   134217728  269676.03         1.00         0.50
