(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=3 minBytes=8 maxBytes=134217728 mode=sequential
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     493.36         0.00         0.00
          16     570.34         0.00         0.00
          32     623.24         0.00         0.00
          64     571.13         0.00         0.00
         128     566.63         0.00         0.00
         256     404.51         0.00         0.00
         512     574.40         0.00         0.00
        1024     582.46         0.00         0.00
        2048     576.40         0.01         0.00
        4096     641.38         0.01         0.01
        8192     770.20         0.02         0.01
       16384     832.38         0.04         0.03
       32768     955.65         0.07         0.05
       65536     974.88         0.13         0.09
      131072    1039.43         0.25         0.17
      262144    1289.73         0.41         0.27
      524288    1500.80         0.70         0.47
     1048576    2520.95         0.83         0.55
     2097152    3858.73         1.09         0.72
     4194304    5997.09         1.40         0.93
     8388608   11018.30         1.52         1.02
    16777216   21428.84         1.57         1.04
    33554432   44549.77         1.51         1.00
    67108864   83099.55         1.62         1.08
   134217728  164278.62         1.63         1.09
