(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=3 minBytes=8 maxBytes=134217728 mode=overlap
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     691.44         0.00         0.00
          16     646.85         0.00         0.00
          32     648.41         0.00         0.00
          64     697.98         0.00         0.00
         128     701.38         0.00         0.00
         256     620.13         0.00         0.00
         512     666.53         0.00         0.00
        1024     622.43         0.00         0.00
        2048     619.58         0.01         0.00
        4096     649.18         0.01         0.01
        8192     640.83         0.03         0.02
       16384     806.09         0.04         0.03
       32768     801.34         0.08         0.05
       65536     952.40         0.14         0.09
      131072    1326.64         0.20         0.13
      262144    1918.11         0.27         0.18
      524288    3055.21         0.34         0.23
     1048576    5614.65         0.37         0.25
     2097152    9353.54         0.45         0.30
     4194304   10677.09         0.79         0.52
     8388608   18356.13         0.91         0.61
    16777216   34500.35         0.97         0.65
    33554432   64207.36         1.05         0.70
    67108864  107208.57         1.25         0.83
   134217728  226105.43         1.19         0.79
