(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=5 minBytes=8 maxBytes=134217728 mode=sequential
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     853.11         0.00         0.00
          16     866.55         0.00         0.00
          32     813.34         0.00         0.00
          64     697.70         0.00         0.00
         128    1201.18         0.00         0.00
         256    1132.65         0.00         0.00
         512    1111.51         0.00         0.00
        1024    1059.29         0.00         0.00
        2048    1045.28         0.00         0.00
        4096    1444.49         0.01         0.00
        8192    1431.39         0.01         0.01
       16384    1507.05         0.02         0.02
       32768    1395.85         0.05         0.04
       65536    1803.41         0.07         0.06
      131072    2016.91         0.13         0.10
      262144    2201.45         0.24         0.19
      524288    2799.16         0.37         0.30
     1048576    3345.41         0.63         0.50
     2097152    5211.29         0.80         0.64
     4194304    8243.73         1.02         0.81
     8388608   13393.58         1.25         1.00
    16777216   25053.45         1.34         1.07
    33554432   48988.41         1.37         1.10
    67108864  100867.88         1.33         1.06
   134217728  199205.61         1.35         1.08
