(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_gather (env rendezvous, like Modal)
# world_size=2 minBytes=8 maxBytes=268435456 mode=sequential
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     150.70         0.00         0.00
          16     146.02         0.00         0.00
          32     157.90         0.00         0.00
          64     150.45         0.00         0.00
         128     235.92         0.00         0.00
         256     232.00         0.00         0.00
         512     251.98         0.00         0.00
        1024     233.35         0.00         0.00
        2048     241.30         0.00         0.01
        4096     248.36         0.01         0.02
        8192     259.01         0.02         0.03
       16384     276.37         0.03         0.06
       32768     324.20         0.05         0.10
       65536     337.74         0.10         0.19
      131072     446.86         0.15         0.29
      262144     687.01         0.19         0.38
      524288     900.54         0.29         0.58
     1048576    1272.86         0.41         0.82
     2097152    2295.14         0.46         0.91
     4194304    4730.92         0.44         0.89
     8388608    8815.52         0.48         0.95
    16777216   16499.51         0.51         1.02
    33554432   32729.98         0.51         1.03
    67108864   65326.14         0.51         1.03
   134217728  130253.20         0.52         1.03
   268435456  287810.37         0.47         0.93
