(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_gather (env rendezvous, like Modal)
# world_size=5 minBytes=8 maxBytes=268435456 mode=overlap
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     902.43         0.00         0.00
          16     827.73         0.00         0.00
          32     756.79         0.00         0.00
          64     710.96         0.00         0.00
         128     966.89         0.00         0.00
         256     973.09         0.00         0.00
         512     974.89         0.00         0.00
        1024     909.31         0.00         0.00
        2048    1012.72         0.00         0.01
        4096    1075.48         0.00         0.02
        8192    1219.76         0.01         0.03
       16384    1140.49         0.01         0.06
       32768    1339.02         0.02         0.10
       65536    2158.91         0.02         0.12
      131072    3822.07         0.03         0.14
      262144    6720.13         0.03         0.16
      524288   12773.87         0.03         0.16
     1048576   23935.29         0.04         0.18
     2097152   45917.09         0.04         0.18
     4194304   92511.31         0.04         0.18
     8388608  185663.14         0.04         0.18
    16777216  373230.31         0.04         0.18
    33554432  747829.09         0.04         0.18
    67108864 1502156.10         0.04         0.18
   134217728 3009942.20         0.04         0.18
   268435456 6034440.00         0.04         0.18
