(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_gather (env rendezvous, like Modal)
# world_size=5 minBytes=8 maxBytes=268435456 mode=overlap
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     907.47         0.00         0.00
          16     878.43         0.00         0.00
          32     831.43         0.00         0.00
          64     845.81         0.00         0.00
         128     844.72         0.00         0.00
         256    1046.28         0.00         0.00
         512    1055.51         0.00         0.00
        1024    1001.19         0.00         0.00
        2048    1052.99         0.00         0.01
        4096    1117.97         0.00         0.01
        8192    1218.80         0.01         0.03
       16384    1293.11         0.01         0.05
       32768    1372.49         0.02         0.10
       65536    1463.69         0.04         0.18
      131072    1724.14         0.06         0.30
      262144    2506.80         0.08         0.42
      524288    3550.64         0.12         0.59
     1048576    5314.85         0.16         0.79
     2097152    8825.11         0.19         0.95
     4194304   17122.03         0.20         0.98
     8388608   33004.70         0.20         1.02
    16777216   63350.51         0.21         1.06
    33554432  125260.27         0.21         1.07
    67108864  248094.92         0.22         1.08
   134217728  493927.04         0.22         1.09
   268435456  992362.32         0.22         1.08
