(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=2 minBytes=8 maxBytes=134217728
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     249.39         0.00         0.00
          16     270.67         0.00         0.00
          32     283.98         0.00         0.00
          64     308.43         0.00         0.00
         128     298.77         0.00         0.00
         256     522.85         0.00         0.00
         512     438.01         0.00         0.00
        1024     468.30         0.00         0.00
        2048     443.48         0.01         0.00
        4096     429.59         0.02         0.01
        8192     461.52         0.04         0.02
       16384     665.33         0.05         0.02
       32768     604.34         0.11         0.05
       65536     672.76         0.19         0.10
      131072     767.67         0.34         0.17
      262144     933.71         0.56         0.28
      524288    1097.83         0.96         0.48
     1048576    1675.82         1.25         0.63
     2097152    2376.90         1.76         0.88
     4194304    4310.87         1.95         0.97
     8388608    7502.00         2.24         1.12
    16777216   15050.74         2.23         1.11
    33554432   29823.71         2.25         1.13
    67108864   60264.24         2.23         1.11
   134217728  119903.38         2.24         1.12
