(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=2 minBytes=8 maxBytes=134217728
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     546.61         0.00         0.00
          16     556.32         0.00         0.00
          32     560.89         0.00         0.00
          64     541.74         0.00         0.00
         128     551.84         0.00         0.00
         256     532.63         0.00         0.00
         512     547.94         0.00         0.00
        1024     529.72         0.00         0.00
        2048     532.15         0.01         0.00
        4096     529.75         0.02         0.01
        8192     494.69         0.03         0.02
       16384     563.57         0.06         0.03
       32768     569.96         0.11         0.06
       65536     551.44         0.24         0.12
      131072     620.43         0.42         0.21
      262144     837.71         0.63         0.31
      524288    1163.60         0.90         0.45
     1048576    1595.63         1.31         0.66
     2097152    2398.31         1.75         0.87
     4194304    4486.82         1.87         0.93
     8388608   19599.52         0.86         0.43
    16777216   39756.63         0.84         0.42
    33554432   46330.87         1.45         0.72
    67108864  101804.77         1.32         0.66
   134217728  209006.42         1.28         0.64
