(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=3 minBytes=8 maxBytes=134217728 mode=overlap
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     491.50         0.00         0.00
          16     455.35         0.00         0.00
          32     427.92         0.00         0.00
          64     430.51         0.00         0.00
         128     434.33         0.00         0.00
         256     696.45         0.00         0.00
         512     662.49         0.00         0.00
        1024     662.98         0.00         0.00
        2048     661.92         0.01         0.00
        4096     709.86         0.01         0.01
        8192     747.38         0.02         0.01
       16384     789.50         0.04         0.03
       32768     943.45         0.07         0.05
       65536    1021.38         0.13         0.09
      131072    1212.74         0.22         0.14
      262144    1434.47         0.37         0.24
      524288    1858.02         0.56         0.38
     1048576    2595.33         0.81         0.54
     2097152    3996.85         1.05         0.70
     4194304    6859.09         1.22         0.82
     8388608   14098.89         1.19         0.79
    16777216   26823.37         1.25         0.83
    33554432   72019.11         0.93         0.62
    67108864  137513.78         0.98         0.65
   134217728  218323.55         1.23         0.82
