(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=4 minBytes=8 maxBytes=134217728 mode=sequential
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     399.99         0.00         0.00
          16     393.05         0.00         0.00
          32     345.16         0.00         0.00
          64     296.81         0.00         0.00
         128     623.75         0.00         0.00
         256     576.99         0.00         0.00
         512     542.89         0.00         0.00
        1024     549.85         0.00         0.00
        2048    1112.65         0.00         0.00
        4096    1054.18         0.01         0.01
        8192     877.45         0.02         0.01
       16384    1042.50         0.03         0.02
       32768    1314.30         0.05         0.04
       65536    1414.29         0.09         0.07
      131072    1634.08         0.16         0.12
      262144    1877.89         0.28         0.21
      524288    2334.91         0.45         0.34
     1048576    2805.65         0.75         0.56
     2097152    4833.52         0.87         0.65
     4194304    7421.64         1.13         0.85
     8388608   12928.15         1.30         0.97
    16777216   23924.33         1.40         1.05
    33554432   47840.71         1.40         1.05
    67108864   92548.39         1.45         1.09
   134217728  184021.17         1.46         1.09
