(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=5 minBytes=8 maxBytes=134217728 mode=overlap
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     807.29         0.00         0.00
          16     762.98         0.00         0.00
          32     903.26         0.00         0.00
          64    1129.36         0.00         0.00
         128    1245.95         0.00         0.00
         256    1307.44         0.00         0.00
         512    1859.03         0.00         0.00
        1024    2003.18         0.00         0.00
        2048    1775.64         0.00         0.00
        4096    1693.63         0.00         0.00
        8192    1590.63         0.01         0.01
       16384    1641.54         0.02         0.02
       32768    1820.97         0.04         0.03
       65536    2132.02         0.06         0.05
      131072    2302.65         0.11         0.09
      262144    2590.34         0.20         0.16
      524288    5575.40         0.19         0.15
     1048576   10830.56         0.19         0.15
     2097152   18797.72         0.22         0.18
     4194304   37454.73         0.22         0.18
     8388608   71529.08         0.23         0.19
    16777216  143528.61         0.23         0.19
    33554432  289201.82         0.23         0.19
    67108864  584167.02         0.23         0.18
   134217728 1170316.37         0.23         0.18
