(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=5 minBytes=8 maxBytes=134217728 mode=overlap
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8    1048.34         0.00         0.00
          16     969.68         0.00         0.00
          32     967.88         0.00         0.00
          64     975.48         0.00         0.00
         128    1365.94         0.00         0.00
         256    1296.99         0.00         0.00
         512    1337.36         0.00         0.00
        1024    1383.64         0.00         0.00
        2048    1415.03         0.00         0.00
        4096    1460.93         0.01         0.00
        8192    1765.70         0.01         0.01
       16384    1583.89         0.02         0.02
       32768    1704.17         0.04         0.03
       65536    2089.75         0.06         0.05
      131072    2565.64         0.10         0.08
      262144    3184.13         0.16         0.13
      524288    4357.28         0.24         0.19
     1048576    6723.75         0.31         0.25
     2097152   10643.60         0.39         0.32
     4194304   19569.94         0.43         0.34
     8388608   36987.18         0.45         0.36
    16777216   70977.96         0.47         0.38
    33554432  136468.76         0.49         0.39
    67108864  264607.36         0.51         0.41
   134217728  524700.92         0.51         0.41
