(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=5 minBytes=8 maxBytes=134217728 mode=sequential
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     826.64         0.00         0.00
          16     758.85         0.00         0.00
          32     695.75         0.00         0.00
          64     648.93         0.00         0.00
         128    1121.75         0.00         0.00
         256    1067.12         0.00         0.00
         512    1081.56         0.00         0.00
        1024    1052.35         0.00         0.00
        2048    1055.52         0.00         0.00
        4096    1093.46         0.01         0.01
        8192    1216.14         0.01         0.01
       16384    1318.22         0.02         0.02
       32768    1501.14         0.04         0.03
       65536    1896.79         0.07         0.06
      131072    2183.79         0.12         0.10
      262144    2829.97         0.19         0.15
      524288    4020.77         0.26         0.21
     1048576    6053.84         0.35         0.28
     2097152    9881.91         0.42         0.34
     4194304   18276.56         0.46         0.37
     8388608   33732.03         0.50         0.40
    16777216   67072.52         0.50         0.40
    33554432  133137.58         0.50         0.40
    67108864  266310.66         0.50         0.40
   134217728  501864.20         0.53         0.43
