(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=5 minBytes=8 maxBytes=134217728 mode=sequential
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     854.31         0.00         0.00
          16     848.55         0.00         0.00
          32     844.78         0.00         0.00
          64     837.29         0.00         0.00
         128     839.47         0.00         0.00
         256    1305.30         0.00         0.00
         512    1268.46         0.00         0.00
        1024    1280.47         0.00         0.00
        2048    1329.56         0.00         0.00
        4096    1391.67         0.01         0.00
        8192    1504.68         0.01         0.01
       16384    1593.67         0.02         0.02
       32768    1673.82         0.04         0.03
       65536    1905.22         0.07         0.06
      131072    2094.70         0.13         0.10
      262144    2361.63         0.22         0.18
      524288    2941.88         0.36         0.29
     1048576    4064.20         0.52         0.41
     2097152    6230.67         0.67         0.54
     4194304   10310.94         0.81         0.65
     8388608   19001.88         0.88         0.71
    16777216   56424.70         0.59         0.48
    33554432  107169.24         0.63         0.50
    67108864  167998.09         0.80         0.64
   134217728  300426.82         0.89         0.71
