(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=2 minBytes=8 maxBytes=134217728
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     363.31         0.00         0.00
          16     273.89         0.00         0.00
          32     330.91         0.00         0.00
          64     330.07         0.00         0.00
         128     334.30         0.00         0.00
         256     451.97         0.00         0.00
         512     504.69         0.00         0.00
        1024     503.20         0.00         0.00
        2048     482.08         0.01         0.00
        4096     433.71         0.02         0.01
        8192     465.42         0.04         0.02
       16384     485.30         0.07         0.03
       32768     497.41         0.13         0.07
       65536     568.67         0.23         0.12
      131072     786.85         0.33         0.17
      262144    1520.74         0.34         0.17
      524288    3097.36         0.34         0.17
     1048576    6333.18         0.33         0.17
     2097152   12937.86         0.32         0.16
     4194304   25296.54         0.33         0.17
     8388608   48480.38         0.35         0.17
    16777216   96355.33         0.35         0.17
    33554432  193710.32         0.35         0.17
    67108864  394528.01         0.34         0.17
   134217728  805404.33         0.33         0.17
