(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=2 minBytes=8 maxBytes=134217728
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     271.45         0.00         0.00
          16     282.85         0.00         0.00
          32     349.75         0.00         0.00
          64     355.85         0.00         0.00
         128     392.26         0.00         0.00
         256     452.42         0.00         0.00
         512     543.13         0.00         0.00
        1024     501.50         0.00         0.00
        2048     573.50         0.01         0.00
        4096     648.74         0.01         0.01
        8192     581.98         0.03         0.01
       16384     546.59         0.06         0.03
       32768     676.61         0.10         0.05
       65536     636.75         0.21         0.10
      131072     673.90         0.39         0.19
      262144     751.75         0.70         0.35
      524288    1135.82         0.92         0.46
     1048576    1581.45         1.33         0.66
     2097152    2633.21         1.59         0.80
     4194304    3823.55         2.19         1.10
     8388608    7791.06         2.15         1.08
    16777216   15175.72         2.21         1.11
    33554432   30104.57         2.23         1.11
    67108864   61043.37         2.20         1.10
   134217728  120709.86         2.22         1.11
