(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=2 minBytes=8 maxBytes=134217728 mode=overlap
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     341.72         0.00         0.00
          16     339.71         0.00         0.00
          32     336.05         0.00         0.00
          64     337.03         0.00         0.00
         128     475.89         0.00         0.00
         256     618.85         0.00         0.00
         512     459.27         0.00         0.00
        1024     470.09         0.00         0.00
        2048     450.52         0.01         0.00
        4096     457.08         0.02         0.01
        8192     487.77         0.03         0.02
       16384     535.33         0.06         0.03
       32768     629.21         0.10         0.05
       65536     727.02         0.18         0.09
      131072     867.94         0.30         0.15
      262144    1230.82         0.43         0.21
      524288    1866.10         0.56         0.28
     1048576    3238.53         0.65         0.32
     2097152    5547.88         0.76         0.38
     4194304   10273.91         0.82         0.41
     8388608   19323.03         0.87         0.43
    16777216   34930.31         0.96         0.48
    33554432   69637.12         0.96         0.48
    67108864  152901.32         0.88         0.44
   134217728  281830.27         0.95         0.48
