(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=2 minBytes=8 maxBytes=134217728
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     281.26         0.00         0.00
          16     316.27         0.00         0.00
          32     313.53         0.00         0.00
          64     314.03         0.00         0.00
         128     311.43         0.00         0.00
         256     555.79         0.00         0.00
         512     512.21         0.00         0.00
        1024     522.86         0.00         0.00
        2048     467.15         0.01         0.00
        4096     466.48         0.02         0.01
        8192     462.25         0.04         0.02
       16384     506.55         0.06         0.03
       32768     557.32         0.12         0.06
       65536     563.67         0.23         0.12
      131072     741.39         0.35         0.18
      262144     876.29         0.60         0.30
      524288    1068.60         0.98         0.49
     1048576    1638.61         1.28         0.64
     2097152    2312.21         1.81         0.91
     4194304   14259.86         0.59         0.29
     8388608    7782.49         2.16         1.08
    16777216   15368.50         2.18         1.09
    33554432   29027.02         2.31         1.16
    67108864   59777.10         2.25         1.12
   134217728  117652.10         2.28         1.14
