(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=3 minBytes=8 maxBytes=134217728 mode=sequential
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     322.12         0.00         0.00
          16     303.24         0.00         0.00
          32     277.02         0.00         0.00
          64     278.75         0.00         0.00
         128     548.78         0.00         0.00
         256     571.10         0.00         0.00
         512     536.88         0.00         0.00
        1024     487.31         0.00         0.00
        2048     591.39         0.01         0.00
        4096     548.53         0.01         0.01
        8192     598.83         0.03         0.02
       16384     660.95         0.05         0.03
       32768     775.11         0.08         0.06
       65536    1011.45         0.13         0.09
      131072     908.51         0.29         0.19
      262144    1248.95         0.42         0.28
      524288    1436.45         0.73         0.49
     1048576    2452.27         0.86         0.57
     2097152    3457.29         1.21         0.81
     4194304    5649.86         1.48         0.99
     8388608   10111.64         1.66         1.11
    16777216   20497.97         1.64         1.09
    33554432   41186.20         1.63         1.09
    67108864   83736.63         1.60         1.07
   134217728  162823.89         1.65         1.10
