(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=4 minBytes=8 maxBytes=134217728 mode=sequential
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     991.85         0.00         0.00
          16     939.47         0.00         0.00
          32     946.51         0.00         0.00
          64    1063.82         0.00         0.00
         128     978.11         0.00         0.00
         256     914.18         0.00         0.00
         512    1040.86         0.00         0.00
        1024    1023.49         0.00         0.00
        2048    1097.92         0.00         0.00
        4096    1118.51         0.01         0.01
        8192    1084.54         0.02         0.01
       16384    1356.05         0.02         0.02
       32768    1496.16         0.04         0.03
       65536    1460.60         0.09         0.07
      131072    1383.19         0.19         0.14
      262144    1796.96         0.29         0.22
      524288    2739.07         0.38         0.29
     1048576    3517.62         0.60         0.45
     2097152    4927.65         0.85         0.64
     4194304    7340.05         1.14         0.86
     8388608   15037.26         1.12         0.84
    16777216   30189.73         1.11         0.83
    33554432   60113.53         1.12         0.84
    67108864  117731.69         1.14         0.86
   134217728  232091.93         1.16         0.87
