(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=4 minBytes=8 maxBytes=134217728 mode=sequential
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     794.74         0.00         0.00
          16     873.21         0.00         0.00
          32     783.74         0.00         0.00
          64     708.32         0.00         0.00
         128     810.95         0.00         0.00
         256    1004.76         0.00         0.00
         512     812.00         0.00         0.00
        1024    1206.93         0.00         0.00
        2048    1362.95         0.00         0.00
        4096    1347.11         0.01         0.00
        8192    1120.97         0.01         0.01
       16384    1138.31         0.03         0.02
       32768    1494.34         0.04         0.03
       65536    1622.07         0.08         0.06
      131072    1666.94         0.16         0.12
      262144    1877.89         0.28         0.21
      524288    2387.04         0.44         0.33
     1048576    3140.49         0.67         0.50
     2097152    4531.00         0.93         0.69
     4194304    7060.78         1.19         0.89
     8388608   11572.26         1.45         1.09
    16777216   24001.71         1.40         1.05
    33554432   46825.72         1.43         1.07
    67108864   92304.92         1.45         1.09
   134217728  186308.62         1.44         1.08
