(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=4 minBytes=8 maxBytes=134217728 mode=overlap
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     960.84         0.00         0.00
          16     923.89         0.00         0.00
          32     954.90         0.00         0.00
          64     961.47         0.00         0.00
         128     925.25         0.00         0.00
         256     926.91         0.00         0.00
         512     903.14         0.00         0.00
        1024     878.62         0.00         0.00
        2048     935.67         0.00         0.00
        4096     986.05         0.01         0.01
        8192     933.93         0.02         0.01
       16384    1212.15         0.03         0.02
       32768    1109.73         0.06         0.04
       65536    1406.91         0.09         0.07
      131072    1735.33         0.15         0.11
      262144    2402.41         0.22         0.16
      524288    3702.54         0.28         0.21
     1048576    6172.62         0.34         0.25
     2097152   12031.98         0.35         0.26
     4194304   13955.15         0.60         0.45
     8388608   23090.11         0.73         0.54
    16777216   46329.33         0.72         0.54
    33554432   84937.96         0.79         0.59
    67108864  149634.58         0.90         0.67
   134217728  345719.24         0.78         0.58
