(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=5 minBytes=8 maxBytes=134217728 mode=overlap
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     963.99         0.00         0.00
          16     920.95         0.00         0.00
          32     904.69         0.00         0.00
          64     860.43         0.00         0.00
         128    1550.51         0.00         0.00
         256    1600.28         0.00         0.00
         512    1582.52         0.00         0.00
        1024    1644.62         0.00         0.00
        2048    1558.91         0.00         0.00
        4096    1722.92         0.00         0.00
        8192    1801.01         0.01         0.01
       16384    1903.17         0.02         0.01
       32768    1986.17         0.03         0.03
       65536    2082.65         0.06         0.05
      131072    2265.85         0.12         0.09
      262144    2551.10         0.21         0.16
      524288    3067.92         0.34         0.27
     1048576    3815.12         0.55         0.44
     2097152    6150.82         0.68         0.55
     4194304    8741.94         0.96         0.77
     8388608   13449.92         1.25         1.00
    16777216   24668.43         1.36         1.09
    33554432   50572.97         1.33         1.06
    67108864  102491.50         1.31         1.05
   134217728  206128.37         1.30         1.04
