(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=5 minBytes=8 maxBytes=134217728 mode=overlap
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8    1155.30         0.00         0.00
          16    1146.58         0.00         0.00
          32    1201.45         0.00         0.00
          64    1546.06         0.00         0.00
         128    1599.70         0.00         0.00
         256    1637.20         0.00         0.00
         512    1673.45         0.00         0.00
        1024    1819.72         0.00         0.00
        2048    1709.68         0.00         0.00
        4096    1867.20         0.00         0.00
        8192    1716.56         0.01         0.01
       16384    2078.45         0.02         0.01
       32768    1974.62         0.03         0.03
       65536    1981.73         0.07         0.05
      131072    2124.16         0.12         0.10
      262144    2487.10         0.21         0.17
      524288    3117.19         0.34         0.27
     1048576    4131.73         0.51         0.41
     2097152    6012.47         0.70         0.56
     4194304    9317.26         0.90         0.72
     8388608   18079.87         0.93         0.74
    16777216   33597.97         1.00         0.80
    33554432   65140.97         1.03         0.82
    67108864  128572.76         1.04         0.84
   134217728  257623.42         1.04         0.83
