(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=5 minBytes=8 maxBytes=134217728 mode=overlap
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8    1597.51         0.00         0.00
          16    1507.02         0.00         0.00
          32    1322.40         0.00         0.00
          64    1021.62         0.00         0.00
         128    1013.80         0.00         0.00
         256    1065.48         0.00         0.00
         512    1031.84         0.00         0.00
        1024    1722.43         0.00         0.00
        2048    1977.10         0.00         0.00
        4096    1963.43         0.00         0.00
        8192    2041.70         0.01         0.01
       16384    1990.18         0.02         0.01
       32768    2124.25         0.03         0.02
       65536    1991.78         0.07         0.05
      131072    2381.66         0.11         0.09
      262144    2357.84         0.22         0.18
      524288    2932.16         0.36         0.29
     1048576    3682.20         0.57         0.46
     2097152    5384.05         0.78         0.62
     4194304    8868.26         0.95         0.76
     8388608   13474.09         1.25         1.00
    16777216   25789.46         1.30         1.04
    33554432   48775.66         1.38         1.10
    67108864  100065.31         1.34         1.07
   134217728  198548.18         1.35         1.08
