(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=5 minBytes=8 maxBytes=134217728 mode=sequential
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8    1258.34         0.00         0.00
          16    1206.40         0.00         0.00
          32    1156.58         0.00         0.00
          64    1124.99         0.00         0.00
         128    1129.52         0.00         0.00
         256    1138.91         0.00         0.00
         512    1100.02         0.00         0.00
        1024    1081.21         0.00         0.00
        2048    1151.46         0.00         0.00
        4096    1206.13         0.01         0.01
        8192    1291.81         0.01         0.01
       16384    1360.16         0.02         0.02
       32768    1337.84         0.05         0.04
       65536    1556.46         0.08         0.07
      131072    1964.55         0.13         0.11
      262144    2650.36         0.20         0.16
      524288    4242.28         0.25         0.20
     1048576    6865.22         0.31         0.24
     2097152   11696.70         0.36         0.29
     4194304   13779.14         0.61         0.49
     8388608   23725.41         0.71         0.57
    16777216   45205.96         0.74         0.59
    33554432   83015.28         0.81         0.65
    67108864  155055.53         0.87         0.69
   134217728  324877.40         0.83         0.66
